"id","mac","glasses","pet.type","favorite.color","prior.gpa","height","tutoring","passed"
32,FALSE,TRUE,"dog","green",3,69,FALSE,TRUE
33,TRUE,FALSE,"none","green",2.08,62,FALSE,TRUE
34,FALSE,FALSE,"none","green",2.5,62,FALSE,TRUE
35,FALSE,FALSE,"fish","red",2.08,69,TRUE,FALSE
36,TRUE,FALSE,"dog","red",3.7,65,TRUE,TRUE
37,TRUE,FALSE,"none","red",2.6,65,TRUE,FALSE
38,FALSE,TRUE,"none","blue",3.35,65,FALSE,FALSE
39,FALSE,TRUE,"cat","red",2.65,76,TRUE,FALSE
40,FALSE,FALSE,"dog","red",3.6,67,FALSE,TRUE
41,TRUE,FALSE,"cat","red",2.39,66,FALSE,FALSE
42,TRUE,FALSE,"none","orange",2.6,64,TRUE,FALSE
43,FALSE,FALSE,"none","orange",3.93,69,TRUE,TRUE
44,FALSE,FALSE,"none","red",3.08,65,FALSE,TRUE
45,FALSE,FALSE,"none","green",3.65,69,TRUE,TRUE
46,FALSE,TRUE,"dog","red",3.34,67,FALSE,TRUE
47,TRUE,FALSE,"dog","red",2.83,67,TRUE,FALSE
48,FALSE,FALSE,"cat","blue",1.94,71,FALSE,TRUE
49,TRUE,FALSE,"fish","blue",3.59,62,FALSE,TRUE
50,FALSE,TRUE,"dog","red",3.57,73,TRUE,TRUE
51,FALSE,FALSE,"cat","blue",3.43,66,FALSE,TRUE
52,FALSE,FALSE,"none","orange",3.43,66,TRUE,TRUE
53,FALSE,FALSE,"none","red",3.95,61,FALSE,TRUE
54,FALSE,TRUE,"none","red",3.13,72,TRUE,TRUE
55,TRUE,TRUE,"none","blue",3.28,63,TRUE,TRUE
56,FALSE,TRUE,"dog","red",3.66,67,TRUE,TRUE
57,FALSE,TRUE,"none","green",3.82,63,TRUE,TRUE
58,FALSE,FALSE,"none","blue",3.14,65,TRUE,FALSE
59,FALSE,TRUE,"none","blue",3.05,68,FALSE,TRUE
60,FALSE,FALSE,"dog","red",3.78,68,FALSE,FALSE
61,FALSE,FALSE,"dog","red",2.85,64,TRUE,TRUE
62,FALSE,TRUE,"none","blue",2.2,65,FALSE,FALSE
63,TRUE,FALSE,"cat","green",2.83,64,TRUE,TRUE
64,FALSE,TRUE,"none","green",3.2,65,TRUE,TRUE
65,FALSE,TRUE,"none","red",3.68,69,TRUE,TRUE
66,TRUE,TRUE,"none","blue",3.86,68,TRUE,TRUE
67,TRUE,TRUE,"dog","red",3.66,65,TRUE,TRUE
68,TRUE,TRUE,"dog","blue",3.3,72,TRUE,TRUE
69,TRUE,FALSE,"none","red",1.69,67,FALSE,FALSE
70,FALSE,TRUE,"dog","orange",3.94,65,TRUE,TRUE
71,FALSE,TRUE,"none","red",2.5,68,FALSE,TRUE
72,TRUE,TRUE,"dog","red",3.07,67,TRUE,TRUE
73,TRUE,FALSE,"dog","blue",3.96,66,TRUE,TRUE
74,FALSE,TRUE,"cat","blue",3.16,61,TRUE,TRUE
75,TRUE,TRUE,"dog","red",3.1,66,TRUE,TRUE
76,TRUE,FALSE,"dog","green",3.76,68,TRUE,TRUE
77,TRUE,TRUE,"none","green",2.43,67,TRUE,TRUE
78,TRUE,FALSE,"none","blue",3.33,70,TRUE,TRUE
79,FALSE,TRUE,"none","red",2.9,64,TRUE,TRUE
80,FALSE,TRUE,"dog","blue",3.68,64,FALSE,TRUE
81,TRUE,FALSE,"dog","red",2.91,66,FALSE,FALSE
82,FALSE,FALSE,"dog","blue",3.71,65,TRUE,TRUE
83,FALSE,FALSE,"none","orange",1.72,64,TRUE,FALSE
84,FALSE,TRUE,"dog","red",3.45,64,TRUE,TRUE
85,FALSE,FALSE,"dog","orange",2.66,61,FALSE,TRUE
86,TRUE,TRUE,"cat","red",3.88,68,FALSE,TRUE
87,FALSE,FALSE,"none","red",3.5,67,FALSE,TRUE
88,FALSE,FALSE,"fish","blue",3.2,65,TRUE,TRUE
89,TRUE,TRUE,"none","blue",3.1,61,FALSE,TRUE
90,FALSE,FALSE,"none","green",3.69,68,FALSE,TRUE
91,TRUE,FALSE,"none","red",3.88,67,FALSE,TRUE
92,FALSE,FALSE,"dog","green",2.91,66,TRUE,FALSE
93,FALSE,FALSE,"dog","green",3.43,66,FALSE,TRUE
94,FALSE,FALSE,"none","blue",3.93,64,FALSE,TRUE
95,TRUE,FALSE,"fish","orange",3.99,66,TRUE,TRUE
96,FALSE,TRUE,"dog","blue",2.83,61,TRUE,FALSE
97,FALSE,FALSE,"dog","red",2.83,70,FALSE,TRUE
98,TRUE,TRUE,"none","red",3.96,66,TRUE,TRUE
99,FALSE,FALSE,"dog","blue",2.89,66,FALSE,TRUE
100,FALSE,FALSE,"dog","blue",3.41,66,TRUE,TRUE
101,FALSE,TRUE,"dog","green",3.51,62,FALSE,FALSE
102,TRUE,TRUE,"dog","blue",3.36,66,FALSE,TRUE
103,FALSE,TRUE,"dog","blue",3.99,63,TRUE,TRUE
104,FALSE,TRUE,"none","green",2.76,60,FALSE,FALSE
105,FALSE,TRUE,"dog","red",3,68,FALSE,TRUE
106,TRUE,FALSE,"dog","blue",3.83,64,FALSE,TRUE
107,TRUE,TRUE,"cat","green",3.27,67,TRUE,TRUE
108,FALSE,FALSE,"none","blue",3.63,66,TRUE,TRUE
109,FALSE,TRUE,"dog","red",3.62,66,TRUE,FALSE
110,TRUE,FALSE,"dog","red",3.03,64,TRUE,TRUE
111,FALSE,TRUE,"none","red",3.52,67,TRUE,TRUE
112,TRUE,FALSE,"dog","green",3.69,64,FALSE,TRUE
113,FALSE,FALSE,"dog","blue",2.76,67,FALSE,FALSE
114,TRUE,FALSE,"dog","green",3.77,62,TRUE,TRUE
115,FALSE,FALSE,"dog","blue",3.11,64,FALSE,TRUE
116,FALSE,TRUE,"dog","blue",2.82,63,FALSE,TRUE
117,FALSE,FALSE,"none","blue",3.92,62,TRUE,TRUE
118,TRUE,TRUE,"dog","blue",3.88,68,FALSE,TRUE
119,TRUE,TRUE,"none","green",3.71,65,FALSE,TRUE
120,FALSE,FALSE,"cat","green",3.96,64,TRUE,TRUE
121,FALSE,TRUE,"none","green",3.73,65,FALSE,TRUE
122,FALSE,FALSE,"fish","orange",3.37,61,TRUE,TRUE
123,TRUE,TRUE,"none","red",3.36,66,TRUE,TRUE
124,FALSE,FALSE,"none","blue",3.09,60,TRUE,FALSE
125,FALSE,TRUE,"none","blue",2.68,67,TRUE,TRUE
126,FALSE,FALSE,"none","blue",3.9,70,FALSE,TRUE
127,TRUE,FALSE,"dog","red",3.82,64,FALSE,TRUE
128,TRUE,TRUE,"none","red",3.5,69,FALSE,TRUE
129,FALSE,FALSE,"dog","orange",2.73,65,TRUE,FALSE
130,FALSE,FALSE,"none","red",2.2,65,FALSE,TRUE
131,TRUE,FALSE,"none","orange",2.04,67,TRUE,FALSE
132,FALSE,FALSE,"fish","red",3.79,68,TRUE,TRUE
133,TRUE,FALSE,"cat","red",3.53,65,TRUE,TRUE
134,FALSE,FALSE,"dog","red",2.18,66,FALSE,FALSE
135,FALSE,TRUE,"fish","red",3.24,66,FALSE,TRUE
136,FALSE,TRUE,"cat","blue",2.01,67,TRUE,FALSE
137,TRUE,TRUE,"none","red",3.85,72,FALSE,TRUE
138,TRUE,FALSE,"cat","red",2.18,66,FALSE,FALSE
139,FALSE,TRUE,"dog","red",3.93,66,FALSE,FALSE
140,TRUE,FALSE,"none","red",3.78,64,TRUE,TRUE
141,FALSE,FALSE,"none","green",3.59,63,TRUE,TRUE
142,FALSE,FALSE,"dog","green",3.43,66,FALSE,TRUE
143,TRUE,FALSE,"dog","red",3.34,62,TRUE,TRUE
144,FALSE,TRUE,"dog","red",3.79,69,FALSE,TRUE
145,TRUE,FALSE,"cat","orange",3.32,67,FALSE,TRUE
146,FALSE,TRUE,"dog","red",3.33,63,FALSE,TRUE
147,TRUE,TRUE,"dog","blue",3.16,69,FALSE,TRUE
148,FALSE,FALSE,"none","blue",2.98,68,FALSE,TRUE
149,FALSE,FALSE,"none","blue",3.76,70,TRUE,FALSE
150,TRUE,FALSE,"none","green",3.95,68,TRUE,TRUE
151,TRUE,FALSE,"dog","blue",3.55,63,FALSE,TRUE
152,FALSE,FALSE,"dog","blue",2.72,62,FALSE,FALSE
153,FALSE,TRUE,"fish","blue",3.45,63,FALSE,TRUE
154,TRUE,FALSE,"dog","blue",3.72,71,TRUE,TRUE
155,FALSE,FALSE,"cat","red",3.37,65,TRUE,TRUE
156,FALSE,TRUE,"none","green",2.51,71,TRUE,FALSE
157,FALSE,TRUE,"none","blue",3.43,68,TRUE,FALSE
158,FALSE,FALSE,"none","blue",2.27,68,FALSE,TRUE
159,FALSE,FALSE,"dog","green",3.66,63,TRUE,TRUE
160,FALSE,FALSE,"none","red",3.52,70,TRUE,TRUE
161,FALSE,FALSE,"dog","red",3.14,67,FALSE,TRUE
162,FALSE,FALSE,"dog","red",3.25,66,TRUE,TRUE
163,FALSE,TRUE,"dog","blue",3.67,64,TRUE,TRUE
164,TRUE,TRUE,"dog","red",1.71,68,FALSE,FALSE
165,FALSE,FALSE,"dog","blue",2.87,61,FALSE,TRUE
166,FALSE,TRUE,"none","blue",3.67,67,FALSE,TRUE
167,TRUE,FALSE,"dog","blue",3.36,66,FALSE,TRUE
168,TRUE,TRUE,"dog","blue",3.15,68,FALSE,FALSE
169,FALSE,TRUE,"fish","green",2.2,67,TRUE,FALSE
170,FALSE,TRUE,"none","green",2.7,64,TRUE,FALSE
171,FALSE,FALSE,"none","red",3.92,64,FALSE,FALSE
172,FALSE,FALSE,"none","green",3.99,68,FALSE,FALSE
173,FALSE,FALSE,"dog","red",3.34,63,TRUE,TRUE
174,FALSE,FALSE,"none","blue",3.6,65,FALSE,TRUE
175,FALSE,FALSE,"cat","red",3.77,72,FALSE,FALSE
176,FALSE,TRUE,"none","red",3.37,70,TRUE,TRUE
177,TRUE,TRUE,"none","red",3.58,71,TRUE,TRUE
178,FALSE,TRUE,"dog","orange",3.95,74,TRUE,TRUE
179,FALSE,FALSE,"dog","blue",3.33,68,FALSE,TRUE
180,FALSE,FALSE,"dog","blue",3.92,70,TRUE,TRUE
181,TRUE,FALSE,"none","blue",2.9,68,TRUE,TRUE
182,FALSE,TRUE,"cat","red",3.28,64,FALSE,TRUE
183,FALSE,FALSE,"cat","blue",2.43,66,FALSE,TRUE
184,FALSE,FALSE,"none","blue",3.86,61,TRUE,TRUE
185,TRUE,FALSE,"dog","red",3.39,61,FALSE,TRUE
186,FALSE,FALSE,"dog","orange",2.93,63,FALSE,TRUE
187,FALSE,FALSE,"dog","red",3.83,67,TRUE,TRUE
188,FALSE,FALSE,"none","red",3.16,65,FALSE,TRUE
189,FALSE,FALSE,"dog","red",3.54,62,TRUE,TRUE
190,FALSE,TRUE,"dog","orange",3.74,71,TRUE,TRUE
191,FALSE,TRUE,"dog","green",3.85,68,FALSE,TRUE
192,FALSE,FALSE,"dog","blue",3.59,61,FALSE,FALSE
193,FALSE,FALSE,"none","blue",2.52,65,FALSE,FALSE
194,FALSE,FALSE,"none","orange",3.64,66,TRUE,TRUE
195,FALSE,TRUE,"cat","red",3.84,65,FALSE,TRUE
196,FALSE,TRUE,"dog","green",3.94,66,FALSE,TRUE
197,FALSE,FALSE,"dog","green",1.3,66,TRUE,FALSE
198,TRUE,TRUE,"dog","blue",3.57,73,TRUE,FALSE
199,TRUE,FALSE,"dog","green",2.68,63,FALSE,FALSE
200,FALSE,FALSE,"cat","orange",3.32,66,TRUE,FALSE
201,FALSE,TRUE,"dog","blue",3.3,62,FALSE,TRUE
202,FALSE,FALSE,"cat","red",2.73,69,TRUE,TRUE
203,TRUE,FALSE,"none","red",3.92,64,FALSE,TRUE
204,FALSE,TRUE,"none","red",3.52,65,TRUE,TRUE
205,TRUE,FALSE,"none","blue",3.81,64,TRUE,TRUE
206,TRUE,TRUE,"cat","red",3.55,61,TRUE,TRUE
207,FALSE,FALSE,"none","blue",3.73,67,TRUE,TRUE
208,FALSE,TRUE,"none","red",2.43,68,TRUE,TRUE
209,FALSE,TRUE,"none","red",3.76,65,TRUE,TRUE
210,FALSE,FALSE,"dog","blue",3.93,69,TRUE,TRUE
211,FALSE,TRUE,"none","red",3.79,59,FALSE,TRUE
212,FALSE,TRUE,"dog","red",3.18,60,FALSE,TRUE
213,FALSE,FALSE,"cat","green",3.41,65,TRUE,TRUE
214,FALSE,FALSE,"cat","blue",3.15,69,FALSE,TRUE
215,FALSE,FALSE,"dog","red",3.17,66,TRUE,TRUE
216,TRUE,TRUE,"none","green",3.45,64,FALSE,TRUE
217,FALSE,FALSE,"none","red",3.67,65,TRUE,FALSE
218,TRUE,TRUE,"cat","blue",1.84,65,FALSE,FALSE
219,TRUE,TRUE,"cat","blue",3.72,70,FALSE,FALSE
220,FALSE,FALSE,"dog","blue",3.35,64,FALSE,FALSE
221,FALSE,TRUE,"none","blue",3.96,65,FALSE,TRUE
222,FALSE,FALSE,"none","red",3.83,69,TRUE,TRUE
223,FALSE,FALSE,"dog","red",2.15,68,FALSE,FALSE
224,FALSE,FALSE,"dog","red",2.55,68,TRUE,FALSE
225,FALSE,FALSE,"dog","green",3.68,64,FALSE,TRUE
226,TRUE,FALSE,"dog","red",3.74,63,TRUE,TRUE
227,FALSE,FALSE,"none","blue",1.98,70,FALSE,FALSE
228,FALSE,FALSE,"cat","red",3.28,71,FALSE,TRUE
229,FALSE,FALSE,"dog","blue",3.95,68,FALSE,TRUE
230,FALSE,FALSE,"dog","blue",3.87,63,TRUE,TRUE
231,FALSE,FALSE,"dog","red",3.64,67,TRUE,TRUE
232,TRUE,TRUE,"dog","green",3.29,63,TRUE,TRUE
233,FALSE,TRUE,"dog","blue",3.48,69,TRUE,TRUE
234,TRUE,FALSE,"dog","blue",3.19,61,FALSE,TRUE
235,TRUE,TRUE,"dog","orange",3.97,65,FALSE,TRUE
236,FALSE,FALSE,"dog","green",3.76,69,TRUE,TRUE
237,FALSE,TRUE,"cat","red",3.68,62,TRUE,TRUE
238,TRUE,TRUE,"none","blue",3.18,70,FALSE,FALSE
239,FALSE,TRUE,"none","red",3.24,65,FALSE,TRUE
240,FALSE,TRUE,"none","red",1.67,64,FALSE,FALSE
241,TRUE,FALSE,"none","blue",2.66,62,FALSE,FALSE
242,FALSE,FALSE,"cat","blue",3.99,69,FALSE,TRUE
243,FALSE,FALSE,"none","blue",2.52,68,TRUE,TRUE
244,FALSE,FALSE,"none","green",4,66,FALSE,TRUE
245,TRUE,FALSE,"none","blue",3.69,68,TRUE,TRUE
246,TRUE,TRUE,"none","blue",3.88,69,TRUE,TRUE
247,FALSE,TRUE,"dog","green",3.47,63,FALSE,TRUE
248,FALSE,TRUE,"fish","red",2.98,67,TRUE,TRUE
249,FALSE,FALSE,"none","blue",3.88,65,TRUE,TRUE
250,FALSE,FALSE,"cat","red",3.96,65,TRUE,TRUE
251,TRUE,FALSE,"none","green",3.91,68,TRUE,TRUE
252,FALSE,TRUE,"dog","green",3.8,66,FALSE,TRUE
253,FALSE,FALSE,"dog","red",3.9,61,TRUE,TRUE
254,TRUE,TRUE,"dog","blue",2.79,64,FALSE,FALSE
255,TRUE,FALSE,"dog","green",3.05,63,TRUE,FALSE
256,FALSE,TRUE,"dog","red",4,68,TRUE,TRUE
257,FALSE,FALSE,"cat","blue",3.67,63,FALSE,TRUE
258,FALSE,FALSE,"cat","green",3.78,71,TRUE,TRUE
259,FALSE,FALSE,"none","blue",3.78,68,FALSE,TRUE
260,FALSE,FALSE,"dog","red",3.86,64,TRUE,TRUE
261,TRUE,TRUE,"none","orange",3.66,72,FALSE,FALSE
262,FALSE,FALSE,"none","red",3.07,64,FALSE,FALSE
263,FALSE,FALSE,"none","orange",2.91,61,FALSE,FALSE
264,FALSE,TRUE,"cat","red",3.91,69,TRUE,TRUE
265,FALSE,TRUE,"dog","green",3.98,64,FALSE,TRUE
266,FALSE,FALSE,"none","red",2.24,66,FALSE,TRUE
267,TRUE,FALSE,"dog","red",2.77,62,TRUE,FALSE
268,FALSE,TRUE,"none","red",2.56,72,TRUE,TRUE
269,TRUE,FALSE,"none","blue",2.75,66,TRUE,TRUE
270,TRUE,TRUE,"none","red",3.86,66,TRUE,TRUE
271,FALSE,FALSE,"none","green",3.33,66,TRUE,TRUE
272,FALSE,TRUE,"dog","red",3.9,69,TRUE,TRUE
273,TRUE,FALSE,"dog","red",3.56,63,FALSE,TRUE
274,FALSE,TRUE,"dog","red",2.88,62,TRUE,TRUE
275,FALSE,TRUE,"none","blue",3.65,65,FALSE,FALSE
276,FALSE,FALSE,"dog","blue",3.28,67,TRUE,TRUE
277,FALSE,FALSE,"cat","blue",3.61,65,FALSE,TRUE
278,FALSE,TRUE,"none","red",2.74,64,TRUE,TRUE
279,TRUE,FALSE,"cat","blue",3.58,68,FALSE,TRUE
280,TRUE,TRUE,"none","blue",3.2,66,FALSE,TRUE
281,FALSE,FALSE,"cat","green",3.8,63,TRUE,TRUE
282,FALSE,FALSE,"cat","red",3.93,67,TRUE,TRUE
283,FALSE,FALSE,"none","orange",3.61,61,FALSE,TRUE
284,FALSE,FALSE,"dog","green",3.22,64,TRUE,FALSE
285,TRUE,TRUE,"dog","red",3.35,69,FALSE,TRUE
286,TRUE,FALSE,"cat","blue",3.7,65,TRUE,TRUE
287,FALSE,FALSE,"none","blue",3.51,69,TRUE,TRUE
288,FALSE,TRUE,"none","orange",3.94,63,FALSE,TRUE
289,FALSE,FALSE,"dog","red",3.75,67,FALSE,TRUE
290,TRUE,FALSE,"cat","blue",3.76,63,FALSE,TRUE
291,FALSE,TRUE,"none","blue",3.22,65,FALSE,TRUE
292,FALSE,FALSE,"none","orange",3.98,60,TRUE,TRUE
293,FALSE,TRUE,"none","green",3.85,69,TRUE,TRUE
294,FALSE,TRUE,"dog","blue",3.61,67,FALSE,FALSE
295,TRUE,FALSE,"none","orange",3.08,66,TRUE,FALSE
296,TRUE,TRUE,"dog","red",2.75,66,TRUE,FALSE
297,FALSE,TRUE,"cat","green",3.89,61,FALSE,TRUE
298,FALSE,TRUE,"none","blue",3.53,68,TRUE,FALSE
299,FALSE,FALSE,"cat","green",3.83,69,FALSE,TRUE
300,FALSE,TRUE,"dog","red",3.25,67,TRUE,TRUE
301,TRUE,FALSE,"dog","blue",3.66,61,TRUE,TRUE
302,FALSE,FALSE,"dog","blue",3.82,67,TRUE,TRUE
303,TRUE,TRUE,"dog","orange",1.86,71,FALSE,TRUE
304,FALSE,FALSE,"dog","green",3.25,65,TRUE,TRUE
305,TRUE,TRUE,"none","green",3.65,68,FALSE,TRUE
306,TRUE,FALSE,"dog","red",2.81,67,FALSE,TRUE
307,FALSE,FALSE,"none","blue",3.75,72,TRUE,TRUE
308,FALSE,FALSE,"none","blue",3.93,70,TRUE,TRUE
309,FALSE,FALSE,"none","red",3.43,66,TRUE,TRUE
310,FALSE,FALSE,"dog","red",3.1,67,FALSE,FALSE
311,TRUE,FALSE,"none","green",3.91,70,TRUE,TRUE
312,FALSE,TRUE,"none","red",3.81,63,TRUE,TRUE
313,TRUE,FALSE,"none","green",2.07,66,TRUE,FALSE
314,TRUE,TRUE,"dog","red",3.97,62,TRUE,TRUE
315,FALSE,FALSE,"none","blue",3.23,68,FALSE,TRUE
316,TRUE,TRUE,"dog","red",3.67,65,TRUE,TRUE
317,FALSE,FALSE,"dog","blue",4,64,TRUE,TRUE
318,TRUE,FALSE,"fish","blue",3.81,58,FALSE,FALSE
319,FALSE,FALSE,"none","orange",1.84,65,TRUE,FALSE
320,TRUE,FALSE,"cat","orange",3.79,64,FALSE,TRUE
321,FALSE,TRUE,"cat","red",3.92,66,FALSE,TRUE
322,TRUE,TRUE,"none","orange",3.54,72,FALSE,TRUE
323,FALSE,FALSE,"none","red",3.68,64,TRUE,TRUE
324,TRUE,FALSE,"dog","orange",3.24,64,TRUE,TRUE
325,FALSE,TRUE,"dog","blue",2.09,71,TRUE,FALSE
326,FALSE,TRUE,"none","blue",3.31,71,FALSE,TRUE
327,FALSE,FALSE,"none","green",3.95,69,FALSE,TRUE
328,FALSE,FALSE,"dog","green",3.48,67,TRUE,TRUE
329,TRUE,FALSE,"none","blue",2.08,62,FALSE,FALSE
330,FALSE,FALSE,"cat","green",2.74,68,TRUE,FALSE
331,FALSE,FALSE,"dog","blue",3.75,66,FALSE,TRUE
332,TRUE,FALSE,"dog","green",2.6,67,TRUE,FALSE
333,FALSE,TRUE,"dog","green",2.6,65,TRUE,TRUE
334,TRUE,TRUE,"none","green",1.67,69,TRUE,FALSE
335,FALSE,FALSE,"fish","red",2.76,63,FALSE,FALSE
336,TRUE,FALSE,"cat","blue",3.18,63,FALSE,TRUE
337,TRUE,TRUE,"cat","green",3.98,69,FALSE,TRUE
338,FALSE,TRUE,"none","green",3.42,72,TRUE,FALSE
339,FALSE,TRUE,"dog","red",3.19,63,FALSE,TRUE
340,FALSE,FALSE,"dog","red",3.21,67,TRUE,FALSE
341,TRUE,TRUE,"none","blue",3.06,65,TRUE,TRUE
342,FALSE,TRUE,"fish","red",2.44,65,TRUE,TRUE
343,FALSE,FALSE,"dog","red",2.8,63,FALSE,TRUE
344,FALSE,FALSE,"dog","blue",3.46,65,FALSE,TRUE
345,FALSE,FALSE,"none","green",3.98,64,TRUE,TRUE
346,TRUE,TRUE,"fish","red",3.66,64,TRUE,TRUE
347,FALSE,FALSE,"dog","green",3.96,67,TRUE,FALSE
348,FALSE,FALSE,"none","blue",3.93,65,FALSE,TRUE
349,FALSE,TRUE,"dog","blue",3.86,63,FALSE,TRUE
350,FALSE,FALSE,"dog","blue",3.24,64,TRUE,FALSE
351,FALSE,TRUE,"none","blue",3.86,70,TRUE,TRUE
352,FALSE,FALSE,"none","red",3.7,65,FALSE,TRUE
353,FALSE,FALSE,"none","green",3.99,67,TRUE,FALSE
354,FALSE,FALSE,"dog","blue",1.95,65,FALSE,FALSE
355,FALSE,FALSE,"none","red",3.22,68,FALSE,TRUE
356,TRUE,TRUE,"dog","red",3.71,67,TRUE,FALSE
357,FALSE,FALSE,"dog","orange",3.59,63,TRUE,TRUE
358,TRUE,FALSE,"none","green",2.77,65,FALSE,TRUE
359,FALSE,FALSE,"none","blue",2.98,62,FALSE,TRUE
360,FALSE,TRUE,"none","green",3.88,66,TRUE,TRUE
361,FALSE,FALSE,"none","green",2.97,62,FALSE,TRUE
362,FALSE,FALSE,"dog","blue",3.21,63,FALSE,TRUE
363,FALSE,FALSE,"none","green",3.89,65,TRUE,FALSE
364,TRUE,TRUE,"none","red",2.71,71,TRUE,FALSE
365,FALSE,TRUE,"none","blue",1.24,61,TRUE,TRUE
366,FALSE,FALSE,"dog","green",3.17,69,TRUE,TRUE
367,FALSE,FALSE,"cat","green",2.94,71,TRUE,TRUE
368,FALSE,FALSE,"none","blue",3.82,68,FALSE,TRUE
369,FALSE,FALSE,"fish","orange",3.28,69,FALSE,TRUE
370,TRUE,FALSE,"dog","blue",3.84,67,TRUE,TRUE
371,FALSE,TRUE,"dog","green",3.07,69,FALSE,TRUE
372,FALSE,FALSE,"cat","red",3.47,62,FALSE,TRUE
373,FALSE,FALSE,"dog","green",3.7,65,FALSE,FALSE
374,FALSE,TRUE,"none","red",3.83,67,FALSE,TRUE
375,FALSE,TRUE,"dog","blue",2.9,67,TRUE,TRUE
376,FALSE,FALSE,"cat","red",3.25,66,TRUE,FALSE
377,FALSE,FALSE,"fish","red",3.75,62,FALSE,TRUE
378,FALSE,TRUE,"dog","red",3.73,64,FALSE,TRUE
379,FALSE,TRUE,"dog","blue",2.9,69,TRUE,FALSE
380,FALSE,TRUE,"none","red",3.2,68,TRUE,TRUE
381,FALSE,TRUE,"none","blue",3.35,66,FALSE,FALSE
382,FALSE,TRUE,"dog","red",3.53,66,FALSE,TRUE
383,TRUE,FALSE,"cat","red",3.97,62,FALSE,TRUE
384,FALSE,TRUE,"none","green",3.87,65,FALSE,TRUE
385,FALSE,TRUE,"dog","red",2.82,68,FALSE,TRUE
386,FALSE,FALSE,"dog","blue",3.8,62,TRUE,FALSE
387,FALSE,FALSE,"cat","green",2.57,58,TRUE,FALSE
388,FALSE,TRUE,"none","blue",3.09,71,TRUE,TRUE
389,TRUE,FALSE,"fish","orange",2.64,71,FALSE,FALSE
390,TRUE,TRUE,"dog","red",3.05,65,FALSE,TRUE
391,FALSE,TRUE,"cat","red",2.71,67,FALSE,TRUE
392,TRUE,TRUE,"dog","green",3.93,62,TRUE,TRUE
393,FALSE,FALSE,"cat","blue",3.36,67,FALSE,TRUE
394,FALSE,FALSE,"dog","red",2.65,68,FALSE,TRUE
395,TRUE,TRUE,"dog","green",3.46,66,TRUE,TRUE
396,TRUE,TRUE,"cat","red",3.97,65,TRUE,TRUE
397,TRUE,TRUE,"none","green",3.73,67,FALSE,TRUE
398,FALSE,FALSE,"none","orange",3.33,62,FALSE,TRUE
399,FALSE,TRUE,"dog","red",3.64,63,FALSE,TRUE
400,TRUE,TRUE,"cat","green",3.91,70,FALSE,TRUE
401,FALSE,TRUE,"none","orange",3.33,62,TRUE,TRUE
402,FALSE,TRUE,"dog","red",3.53,72,FALSE,TRUE
403,FALSE,TRUE,"fish","blue",3.81,66,FALSE,TRUE
404,FALSE,TRUE,"none","red",3.9,67,FALSE,TRUE
405,TRUE,TRUE,"none","red",3.35,64,TRUE,TRUE
406,TRUE,TRUE,"dog","blue",4,68,FALSE,TRUE
407,TRUE,TRUE,"none","green",3.07,63,TRUE,TRUE
408,TRUE,TRUE,"dog","red",3,69,TRUE,FALSE
409,FALSE,FALSE,"dog","orange",2.94,63,TRUE,TRUE
